track_name,mbz_id,fname,instrument,f_score,iterations,time,threshold,smooth,pre_avg,post_avg,pre_max,post_max
Between the Devil and the Deep Blue Sea,7e485343-1cb9-4798-acc0-c35320949854,jarrettk-betweenthedevilandthe-peacockgdejohnettej-2009-7e485343,piano,0.9490639965171964,97,07-05-24_21-03-46,0.5580449252251287,0.08841104235902658,0.0003527685463121761,0.0,0.010083166943610635,0.011252770556389366
With Malice Towards None,d5c51907-81dd-42d8-9e78-956ff9f0d28e,hicksj-withmalicetowardsnone-bookerwmuhammadi-1981-d5c51907,piano,0.9052532833020638,97,07-05-24_21-03-43,0.5580449252251287,0.08841104235902658,0.0003527685463121761,0.0,0.010083166943610635,0.011252770556389366
Expectations,78892a40-bee3-490c-90e8-226203310b97,hicksj-expectations-drummondrsmittym-1993-78892a40,piano,0.9492424242424243,97,07-05-24_21-03-45,0.5580449252251287,0.08841104235902658,0.0003527685463121761,0.0,0.010083166943610635,0.011252770556389366
Fly Little Bird Fly,e3e5bd4a-a7c4-4b49-8308-c63420605332,hicksj-flylittlebirdfly-williamsbhayesl-2006-e3e5bd4a,piano,0.9163154726068634,97,07-05-24_21-03-41,0.5580449252251287,0.08841104235902658,0.0003527685463121761,0.0,0.010083166943610635,0.011252770556389366
Back Home Again in Indiana,b0e03bf2-6c3d-48e7-aa7c-ab321ae8a459,petersono-backhomeagaininindiana-kingawilkinsonm-1947-b0e03bf2,piano,0.9582836710369488,97,07-05-24_21-03-21,0.5580449252251287,0.08841104235902658,0.0003527685463121761,0.0,0.010083166943610635,0.011252770556389366
Tristeza,55736745-695f-4703-a51b-637db2db7324,petersono-tristeza-jonessdurhamb-1970-55736745,piano,0.8726682887266828,97,07-05-24_21-03-28,0.5580449252251287,0.08841104235902658,0.0003527685463121761,0.0,0.010083166943610635,0.011252770556389366
The Man I Love,20c60566-3170-41b9-992c-a3062948fca6,petersono-themanilove-orstedndrewm-1984-20c60566,piano,0.9350372736954206,97,07-05-24_21-03-29,0.5580449252251287,0.08841104235902658,0.0003527685463121761,0.0,0.010083166943610635,0.011252770556389366
Sweet Georgia Brown,25a7592c-4709-4429-9ca9-7070b32c7f25,powellb-sweetgeorgiabrown-russellcroachm-1950-25a7592c,piano,0.8761002031144212,97,07-05-24_21-03-39,0.5580449252251287,0.08841104235902658,0.0003527685463121761,0.0,0.010083166943610635,0.011252770556389366
Like Someone in Love,cebd562d-6606-40b5-8d58-01c96609470c,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,piano,0.9470588235294118,97,07-05-24_21-03-42,0.5580449252251287,0.08841104235902658,0.0003527685463121761,0.0,0.010083166943610635,0.011252770556389366
Rifftide,8a86e370-95b2-48d1-8346-7664ab9f2b7f,powellb-rifftide-orstednschiopffew-1962-8a86e370,piano,0.901840490797546,97,07-05-24_21-03-44,0.5580449252251287,0.08841104235902658,0.0003527685463121761,0.0,0.010083166943610635,0.011252770556389366
Blues for Gwen,72d0306f-d3ed-4332-9d59-1c22271568d7,tynerm-bluesforgwen-davisajonese-1962-72d0306f,piano,0.9663686675180928,98,07-05-24_21-05-01,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,piano,0.9074433656957928,98,07-05-24_21-04-55,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
TraneLike,f61d311f-067d-4ff3-986f-ac91a571a381,tynerm-tranelike-clarkesfostera-1998-f61d311f,piano,0.9534883720930233,98,07-05-24_21-04-46,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Someday My Prince Will Come,709cf40e-fd3f-4af7-9028-d96c90741cce,barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e,piano,0.9539706626201315,98,07-05-24_21-04-59,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,piano,0.9683809523809523,98,07-05-24_21-05-01,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Shuffle Boil,3a37bdb6-b048-480b-b367-43d0f60e2313,barronk-shuffleboil-kitagawakblakej-2015-3a37bdb6,piano,0.9298892988929889,98,07-05-24_21-04-23,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Just Friends,0469f84b-0b9d-4e06-8c82-8d634fd8e8e1,flanagant-justfriends-tuckerbbaileyd-1961-0469f84b,piano,0.9342756183745583,98,07-05-24_21-04-47,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Denzils Best,b4be29dc-0604-4d35-9eec-a1134ddf4d18,flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,piano,0.9534883720930232,98,07-05-24_21-04-31,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Birdsong,1538c8eb-ccd3-4df9-9680-2f866b90ebef,flanagant-birdsong-washingtonpnashl-1997-1538c8eb,piano,0.9330004161464834,98,07-05-24_21-05-02,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Ralphs New Blues,7dfd6f62-eb98-4ab1-a82a-faffdc919479,mancej-ralphsnewblues-tuckerbthomasb-1960-7dfd6f62,piano,0.9094138543516873,98,07-05-24_21-04-16,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,piano,0.8720999405116002,98,07-05-24_21-04-50,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Broadway,97763166-9e4b-426b-9bcc-8cf687051dfe,mancej-broadway-tanakahwilliamsj-2007-97763166,piano,0.9669211195928754,98,07-05-24_21-04-56,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Spring Will Be a Little Late This Year,828208f2-3ae0-4de4-878c-ffd8f7cda68c,jamala-springwillbealittle-crosbyiperkinsw-1955-828208f2,piano,0.9038461538461537,98,07-05-24_21-04-15,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Dolphin Dance,87cd9343-6d9e-4651-aabc-aa191fd7c6b0,jamala-dolphindance-nasserjgantf-1971-87cd9343,piano,0.8978224455611389,98,07-05-24_21-04-24,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Milan,16ff9b1f-39ac-4116-83a7-17ae46b76cc5,jamala-milan-cammackjmuhammadi-2004-16ff9b1f,piano,0.9063180827886709,98,07-05-24_21-04-40,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
No Cover No Minimum,f675dc4a-15fd-44f2-b929-9908d878a3b0,evansb-nocovernominimum-koticktmotianp-1956-f675dc4a,piano,0.9559322033898305,98,07-05-24_21-04-58,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Glorias Step take 1 interrupted,af9c1ed7-0406-4411-a53e-32c5350c9bf8,evansb-gloriassteptake1interrupted-lafarosmotianp-1961-af9c1ed7,piano,0.8533333333333334,98,07-05-24_21-04-02,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Glorias Step take 3,f72a8e95-4a9f-409a-aff7-8857540adf73,evansb-gloriassteptake3-lafarosmotianp-1961-f72a8e95,piano,0.9063670411985019,98,07-05-24_21-04-02,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Emily,f9fa0f9b-b3d7-4f59-a376-54fc83d42e80,evansb-emily-gomezemorellm-1968-f9fa0f9b,piano,0.9616252821670429,98,07-05-24_21-04-06,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
SeeSaw,166c480f-4084-491d-a32a-8c899b0e9940,evansb-seesaw-gomezemorellm-1973-166c480f,piano,0.911690496215307,98,07-05-24_21-04-29,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
All of You,1324a29e-6075-4beb-861d-73f6de9be20a,evansb-allofyou-gomezezigmunde-1974-1324a29e,piano,0.940700808625337,98,07-05-24_21-04-38,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Bills Hit Tune,8907b003-9e93-4b74-b35a-981879c9e36e,evansb-billshittune-johnsonmlabarberaj-1980-8907b003,piano,0.8955597248280174,98,07-05-24_21-04-43,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Rainbow,2c0f6494-cc8b-4a94-9b0c-9350a97499b2,jarrettk-rainbow-hadencmotianp-1972-2c0f6494,piano,0.9045383411580594,98,07-05-24_21-04-57,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
All the Things You Are,c82aab89-ca2b-4211-842f-9c69583d03ca,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,piano,0.9136021267168808,98,07-05-24_21-04-58,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Between the Devil and the Deep Blue Sea,7e485343-1cb9-4798-acc0-c35320949854,jarrettk-betweenthedevilandthe-peacockgdejohnettej-2009-7e485343,piano,0.9490639965171964,98,07-05-24_21-05-06,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
With Malice Towards None,d5c51907-81dd-42d8-9e78-956ff9f0d28e,hicksj-withmalicetowardsnone-bookerwmuhammadi-1981-d5c51907,piano,0.9052532833020638,98,07-05-24_21-05-03,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Expectations,78892a40-bee3-490c-90e8-226203310b97,hicksj-expectations-drummondrsmittym-1993-78892a40,piano,0.9492424242424243,98,07-05-24_21-05-05,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Fly Little Bird Fly,e3e5bd4a-a7c4-4b49-8308-c63420605332,hicksj-flylittlebirdfly-williamsbhayesl-2006-e3e5bd4a,piano,0.9163154726068634,98,07-05-24_21-05-02,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Back Home Again in Indiana,b0e03bf2-6c3d-48e7-aa7c-ab321ae8a459,petersono-backhomeagaininindiana-kingawilkinsonm-1947-b0e03bf2,piano,0.9582836710369488,98,07-05-24_21-04-42,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Tristeza,55736745-695f-4703-a51b-637db2db7324,petersono-tristeza-jonessdurhamb-1970-55736745,piano,0.8726682887266828,98,07-05-24_21-04-49,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
The Man I Love,20c60566-3170-41b9-992c-a3062948fca6,petersono-themanilove-orstedndrewm-1984-20c60566,piano,0.9350372736954206,98,07-05-24_21-04-50,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Sweet Georgia Brown,25a7592c-4709-4429-9ca9-7070b32c7f25,powellb-sweetgeorgiabrown-russellcroachm-1950-25a7592c,piano,0.8761002031144212,98,07-05-24_21-04-59,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Like Someone in Love,cebd562d-6606-40b5-8d58-01c96609470c,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,piano,0.9470588235294118,98,07-05-24_21-05-02,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Rifftide,8a86e370-95b2-48d1-8346-7664ab9f2b7f,powellb-rifftide-orstednschiopffew-1962-8a86e370,piano,0.901840490797546,98,07-05-24_21-05-05,0.5580449252251287,0.08841104235902658,0.00282214837049741,0.0,0.010083166943610635,0.011252770556389366
Blues for Gwen,72d0306f-d3ed-4332-9d59-1c22271568d7,tynerm-bluesforgwen-davisajonese-1962-72d0306f,piano,0.9663686675180928,99,07-05-24_21-06-20,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,piano,0.9074433656957928,99,07-05-24_21-06-13,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
TraneLike,f61d311f-067d-4ff3-986f-ac91a571a381,tynerm-tranelike-clarkesfostera-1998-f61d311f,piano,0.9534883720930233,99,07-05-24_21-06-04,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Someday My Prince Will Come,709cf40e-fd3f-4af7-9028-d96c90741cce,barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e,piano,0.9539706626201315,99,07-05-24_21-06-18,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,piano,0.9683809523809523,99,07-05-24_21-06-20,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Shuffle Boil,3a37bdb6-b048-480b-b367-43d0f60e2313,barronk-shuffleboil-kitagawakblakej-2015-3a37bdb6,piano,0.9298892988929889,99,07-05-24_21-05-43,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Just Friends,0469f84b-0b9d-4e06-8c82-8d634fd8e8e1,flanagant-justfriends-tuckerbbaileyd-1961-0469f84b,piano,0.9342756183745583,99,07-05-24_21-06-06,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Denzils Best,b4be29dc-0604-4d35-9eec-a1134ddf4d18,flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,piano,0.9534883720930232,99,07-05-24_21-05-51,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Birdsong,1538c8eb-ccd3-4df9-9680-2f866b90ebef,flanagant-birdsong-washingtonpnashl-1997-1538c8eb,piano,0.9330004161464834,99,07-05-24_21-06-21,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Ralphs New Blues,7dfd6f62-eb98-4ab1-a82a-faffdc919479,mancej-ralphsnewblues-tuckerbthomasb-1960-7dfd6f62,piano,0.9094138543516873,99,07-05-24_21-05-36,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,piano,0.8720999405116002,99,07-05-24_21-06-08,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Broadway,97763166-9e4b-426b-9bcc-8cf687051dfe,mancej-broadway-tanakahwilliamsj-2007-97763166,piano,0.9669211195928754,99,07-05-24_21-06-14,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Spring Will Be a Little Late This Year,828208f2-3ae0-4de4-878c-ffd8f7cda68c,jamala-springwillbealittle-crosbyiperkinsw-1955-828208f2,piano,0.9038461538461537,99,07-05-24_21-05-35,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Dolphin Dance,87cd9343-6d9e-4651-aabc-aa191fd7c6b0,jamala-dolphindance-nasserjgantf-1971-87cd9343,piano,0.8978224455611389,99,07-05-24_21-05-43,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Milan,16ff9b1f-39ac-4116-83a7-17ae46b76cc5,jamala-milan-cammackjmuhammadi-2004-16ff9b1f,piano,0.9063180827886709,99,07-05-24_21-05-58,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
No Cover No Minimum,f675dc4a-15fd-44f2-b929-9908d878a3b0,evansb-nocovernominimum-koticktmotianp-1956-f675dc4a,piano,0.9559322033898305,99,07-05-24_21-06-16,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Glorias Step take 1 interrupted,af9c1ed7-0406-4411-a53e-32c5350c9bf8,evansb-gloriassteptake1interrupted-lafarosmotianp-1961-af9c1ed7,piano,0.8533333333333334,99,07-05-24_21-05-22,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Glorias Step take 3,f72a8e95-4a9f-409a-aff7-8857540adf73,evansb-gloriassteptake3-lafarosmotianp-1961-f72a8e95,piano,0.9063670411985019,99,07-05-24_21-05-22,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Emily,f9fa0f9b-b3d7-4f59-a376-54fc83d42e80,evansb-emily-gomezemorellm-1968-f9fa0f9b,piano,0.9616252821670429,99,07-05-24_21-05-27,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
SeeSaw,166c480f-4084-491d-a32a-8c899b0e9940,evansb-seesaw-gomezemorellm-1973-166c480f,piano,0.911690496215307,99,07-05-24_21-05-48,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
All of You,1324a29e-6075-4beb-861d-73f6de9be20a,evansb-allofyou-gomezezigmunde-1974-1324a29e,piano,0.940700808625337,99,07-05-24_21-05-57,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Bills Hit Tune,8907b003-9e93-4b74-b35a-981879c9e36e,evansb-billshittune-johnsonmlabarberaj-1980-8907b003,piano,0.8955597248280174,99,07-05-24_21-06-03,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Rainbow,2c0f6494-cc8b-4a94-9b0c-9350a97499b2,jarrettk-rainbow-hadencmotianp-1972-2c0f6494,piano,0.9045383411580594,99,07-05-24_21-06-16,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
All the Things You Are,c82aab89-ca2b-4211-842f-9c69583d03ca,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,piano,0.9136021267168808,99,07-05-24_21-06-17,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Between the Devil and the Deep Blue Sea,7e485343-1cb9-4798-acc0-c35320949854,jarrettk-betweenthedevilandthe-peacockgdejohnettej-2009-7e485343,piano,0.9490639965171964,99,07-05-24_21-06-25,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
With Malice Towards None,d5c51907-81dd-42d8-9e78-956ff9f0d28e,hicksj-withmalicetowardsnone-bookerwmuhammadi-1981-d5c51907,piano,0.9052532833020638,99,07-05-24_21-06-22,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Expectations,78892a40-bee3-490c-90e8-226203310b97,hicksj-expectations-drummondrsmittym-1993-78892a40,piano,0.9492424242424243,99,07-05-24_21-06-25,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Fly Little Bird Fly,e3e5bd4a-a7c4-4b49-8308-c63420605332,hicksj-flylittlebirdfly-williamsbhayesl-2006-e3e5bd4a,piano,0.9163154726068634,99,07-05-24_21-06-21,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Back Home Again in Indiana,b0e03bf2-6c3d-48e7-aa7c-ab321ae8a459,petersono-backhomeagaininindiana-kingawilkinsonm-1947-b0e03bf2,piano,0.9582836710369488,99,07-05-24_21-06-00,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Tristeza,55736745-695f-4703-a51b-637db2db7324,petersono-tristeza-jonessdurhamb-1970-55736745,piano,0.8726682887266828,99,07-05-24_21-06-08,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
The Man I Love,20c60566-3170-41b9-992c-a3062948fca6,petersono-themanilove-orstedndrewm-1984-20c60566,piano,0.9350372736954206,99,07-05-24_21-06-09,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Sweet Georgia Brown,25a7592c-4709-4429-9ca9-7070b32c7f25,powellb-sweetgeorgiabrown-russellcroachm-1950-25a7592c,piano,0.8761002031144212,99,07-05-24_21-06-18,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
Like Someone in Love,cebd562d-6606-40b5-8d58-01c96609470c,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,piano,0.9470588235294118,99,07-05-24_21-06-21,0.5580449252251287,0.08841104235902658,0.0021166112778730575,0.0,0.010083166943610635,0.011252770556389366
